Status Code,URL,Backlink,Anchor,Rel,Exists
200,https://gist.github.com/johnmurch,http://www.johnmurch.com/,http://www.johnmurch.com,nofollow me,true
404,https://ipullrank.com/category/search-theory/feed/,,,,false
200,https://ibrick.wordpress.com/2007/10/,http://johnmurch.com/,JohnMurch.Com,,true
200,http://www.jeaninehenderson.com/welcome-to-my-new-site/,,,,false
200,https://tim.blog/2009/01/27/office-chair-aeron-vs-mirra-vs-liberty/comment-page-2/?replytocom=118055,,,,false
404,http://www.thehopkinsonreport.com/category/branding-advertising/page/11/,,,,false
200,https://akalogue.wordpress.com/2007/07/15/iphoneのjavascript処理速度/,http://www.johnmurch.com/2007/07/01/iphone-javascript-and-spec-benchmark/,JavaScriptベンチマーク,,true
200,https://dmiracle.com/2007/07/17/shut-down-your-email-close-your-feed-reader/,http://www.johnmurch.com/,John Murch,external nofollow,true
404,https://www.offshorecorptalk.com/threads/using-social-media-to-get-ahead-of-search-demand.10847/,,,,false
404,http://fhwang.net/2007/05/27/Very-late-GoRuCo-wrapup,,,,false
200,http://akamatsu.org/aka/2007/page/13/,http://www.johnmurch.com/2007/07/01/iphone-javascript-and-spec-benchmark/,JavaScriptベンチマーク,,true
200,https://scrollinondubs.com/2008/05/02/markamp-phoenix/,http://www.johnmurch.com/,John Murch,external nofollow ugc,true
200,https://www.johnfdoherty.com/quit-blogging/,http://www.johnmurch.com/,John,external nofollow ugc,true
200,http://barcamp.org/w/page/403350/iPhoneDevCampAttendees,http://www.johnmurch.com/,John Murch ,,true
200,https://github.com/johnmurch,http://www.johnmurch.com/,http://www.johnmurch.com,nofollow me,true
200,https://twitter.com/johnmurch,,,,false
200,https://www.producthunt.com/@johnmurch,http://www.johnmurch.com/,johnmurch.com,,true
